name,description,manufacturer_code,category,tags,seo_keyword,meta_description,attributes,images,mpn,manufacturer_model_number,uom,sale_price,cost_price,options,weight,length,width,height,location,quantity
3M Organic Vapor/Acid Gas Cartridge/Filter 60923,"The 3M™ Organic Vapor/Acid Gas Cartridge/Filter 60923 P100 helps provide protection against certain organic vapors, acid gases and particulates in a variety of environments. The cartridge/filter combination may be used for respiratory protection from certain organic vapors, chlorine, hydrogen chloride, sulfur dioxide, hydrogen sulfide, hydrogen fluoride, and non-oil and oil particulate concentrations up to 10 times the Permissible Exposure Limit (PEL) with half facepieces or 50 times PEL with quantitatively fit tested full facepieces. This cartridge/filter is not for use in environments that are immediately dangerous to life or health (IDLH). Recommended applications for the cartridge/filter include chemical manufacturing, laboratories, petrochemical, and pharmaceuticals. Inventory needs and training requirements for safety equipment are reduced because this respirator cartridge/filter selection works for many different applications. This cartridge/filter is commonly used in the following industries: chemicals, general manufacturing, and pharmaceuticals.",3M,Respiratory Protection|Cartridges & Filters,3M| Respiratory Protection| Cartridge| Filter| Organic Vapor| Acid Gas| Particulates| NIOSH,Organic Vapor/Acid Gas Cartridge/Filter,Organic Vapor/Acid Gas Cartridge/Filter,"Protection: NIOSH approved for protection against certain organic vapors, acid gases and particulates|Details: Swept-back design allows an enhanced field of view and comfort \Bayonet compatibility allows use with many 3M™ half and full facepieces and certain 3M™ Scott™ full facepieces|Applications: Assembly and Mechanical\Batch-Charging\ Chemical Clean-up\ Chemical Manufacturing\ Cleaning\ Fertilizing\ Finishing Operations\ Handling\ Laboratories\ Maintenance\ Manufacturing\ Metal Pouring Including Exposure to Lead\ Painting\ Pesticide Application\ Petrochemical\ Pharmaceuticals\ Pouring Molten Metal\ Seal Coatings\ Working in dusty and poisonous atmosphere",products/3M60923_1.jpg|products/3M60923_2.jpg|products/3M60923_3.jpg,60923,,each,25.00,19.21,,,,,,"Oklahoma City, OK",0
Cordova Encore Disposable Uncorded Ear Plugs,"The Encore™ line of ear plugs offer a soft, comfortable fit and optimal hearing protection with a 33 decibel noise reduction rating. These foam polyurethane (PU) ear plugs expand to fit snugly within the ear canal. The tapered design allows for easy insertion/removal and the bright orange color makes compliance checks easy. Encore™ PU earplugs are produced in an ISO 9001:2000 Certified Facility to ensure consistent quality and performance.",COR,Hearing Protection|Earplugs|Uncorded,Cordova| Uncorded| Ear Plugs| Noise| Decibel| Foam| Encore| Dispenser| hearing protection ,Uncorded Disposable Ear Plugs,Uncorded Disposable Ear Plugs,"Material: Foam Polyurethane|Protection: Certification/Rating: ANSI S3.19-1974, EN 352-2.2002 | Noise Reduction Rating: 33 Decibels|Details: The tapered design allows for easy insertion/removal and the bright orange color makes compliance checks easy.",products/COREPFU01_1.jpg|products/COREPFU01_2.jpg|products/COREPFU01_2.jpg,EPFU01,,box,23.00,15.25,color: orange,1.00,7.00,9.50,4.50,"Oklahoma City, OK",0
Cordova Encore Disposable Corded Ear Plugs,"The Encore™ line of ear plugs offer a soft, comfortable fit and optimal hearing protection with a 33 decibel noise reduction rating. These foam polyurethane (PU) ear plugs expand to fit snugly within the ear canal. The tapered design allows for easy insertion/removal and the bright orange color makes compliance checks easy. A convenient cord keeps them safe around the neck when not in use. Encore™ PU earplugs are produced in an ISO 9001:2000 Certified Facility to ensure consistent quality and performance.",COR,Hearing Protection|Earplugs|Corded,Cordova|Corded|Ear Plugs| Noise| Decibel| Foam| Encore| Dispenser| hearing protection ,Corded Disposable Ear Plugs,,"Material: Foam Polyurethane|Protection: Certification/Rating: ANSI S3.19-1974, EN 352-2.2002 | Noise Reduction Rating: 33 Decibels|Details: The tapered design allows for easy insertion/removal and the bright orange color makes compliance checks easy.",products/COREPFC01_1.jpg|products/COREPFC01_2.jpg,EPFC01,,box,21.00,15.25,color: orange,1.00,5.50,5.50,7.00,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,"CORDOVA SAFETY PRODUCTS brand DEFENDER™ protective clothing is constructed of tough, composite fabric that combines breathable microporous film and soft non-woven polyolefin. It provides an effective barrier against particulates, aerosols, and liquids while maintaining comfort. It is designed for work environments where hazardous and non-hazardous liquid and dry particulate contaminants may be present. DEFENDER II™ is a lighter, cooler version of the original. This Defender II™ microporous coverall features serged seams, a zipper and collar, and elastic waist.",COR,Clothing|Non-FR|Disposable Coveralls,Cordova|Disposable Coverall|Disposable Protection|Defender|Microporous,Microporous Disposable Coveralls,Microporous Disposable Coveralls,Material: Composite Fabric - Microporous Film - Soft Non-Woven Polyolefin|Protection: ANSI/ISEA 101 Compliant sizing -ASTM 1670 |Blood Penetration: Pass - Anti-Static - Safe for Food contact|Features: Serged Seams - Zipper and Collar - Elastic Waist,products/CORMP100_1.jpg|products/CORMP100_2.jpg,MP100,,case,69.00,50.00,color:white| size: s,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP101,,case,69.00,50.00,color:white| size: m,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP102,,case,69.00,50.00,color:white| size: l,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP103,,case,69.00,50.00,color:white|size: xl,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP104,,case,69.00,50.00,color:white|size: 2xl,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP105,,case,69.00,50.00,color:white| size: 3xl,,,,,"Oklahoma City, OK",0
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP106,,case,69.00,50.00,color:white| size: 4xl,,,,,"Oklahoma City, OK",0
